state,stage,year,lat,lng,population,students,schools,students_per_school,students_per_1000_pop
Negeri Sembilan,secondary,2017,2.676701647996793,101.91032717041921,538836,88728,125,709.824,164.6660579471305
Negeri Sembilan,secondary,2018,2.676701647996793,101.91032717041921,538836,81395,125,651.16,151.05709343844882
Negeri Sembilan,secondary,2019,2.676701647996793,101.91032717041921,538836,80278,125,642.224,148.98410648137838
Negeri Sembilan,secondary,2020,2.676701647996793,101.91032717041921,538836,81063,125,648.504,150.44095049328553
Negeri Sembilan,secondary,2021,2.676701647996793,101.91032717041921,538836,82626,125,661.008,153.34164755138855
Negeri Sembilan,secondary,2022,2.676701647996793,101.91032717041921,538836,83571,126,663.2619047619048,155.09542792241052
Pahang,primary,2017,3.8166999999999995,103.3333,607778,145117,541,268.2384473197782,238.76645748941226
Pahang,primary,2018,3.8166999999999995,103.3333,607778,145698,541,269.31238447319777,239.72239863897673
Pahang,primary,2019,3.8166999999999995,103.3333,607778,146680,542,270.62730627306274,241.33812016887745
Pahang,primary,2020,3.8166999999999995,103.3333,607778,147764,543,272.1252302025783,243.12166613467417
Pahang,primary,2021,3.8166999999999995,103.3333,607778,150671,543,277.47882136279924,247.9046625577102
Pahang,primary,2022,3.8166999999999995,103.3333,607778,151624,543,279.23388581952116,249.47266929701306
Pahang,secondary,2017,3.8166999999999995,103.3333,607778,108873,196,555.4744897959183,179.13284126769972
Pahang,secondary,2018,3.8166999999999995,103.3333,607778,98483,197,499.9137055837563,162.0377835328031
Pahang,secondary,2019,3.8166999999999995,103.3333,607778,96726,198,488.5151515151515,159.14692535761412
Pahang,secondary,2020,3.8166999999999995,103.3333,607778,97008,198,489.93939393939394,159.61091056273838
Pahang,secondary,2021,3.8166999999999995,103.3333,607778,99359,198,501.8131313131313,163.4790992763805
Pahang,secondary,2022,3.8166999999999995,103.3333,607778,101823,198,514.2575757575758,167.53321113959373
Perak,primary,2017,4.538542924387895,101.00688464743035,1478176,201117,852,236.05281690140845,136.0575465979694
Perak,primary,2018,4.538542924387895,101.00688464743035,1478176,200629,852,235.4800469483568,135.7274099971857
Perak,primary,2019,4.538542924387895,101.00688464743035,1478176,201788,852,236.84037558685446,136.51148442404693
Perak,primary,2020,4.538542924387895,101.00688464743035,1478176,200614,852,235.46244131455398,135.71726235576818
Perak,primary,2021,4.538542924387895,101.00688464743035,1478176,201034,852,235.95539906103286,136.00139631545903
Perak,primary,2022,4.538542924387895,101.00688464743035,1478176,200543,852,235.37910798122067,135.66923018639187
Perak,secondary,2017,4.538542924387895,101.00688464743035,1478176,183856,248,741.3548387096774,124.38031736410278
Perak,secondary,2018,4.538542924387895,101.00688464743035,1478176,162961,250,651.844,110.2446528694824
Perak,secondary,2019,4.538542924387895,101.00688464743035,1478176,158394,250,633.576,107.15503431255819
Perak,secondary,2020,4.538542924387895,101.00688464743035,1478176,156914,250,627.656,106.15380035936181
Perak,secondary,2021,4.538542924387895,101.00688464743035,1478176,158742,250,634.968,107.3904595934449
Perak,secondary,2022,4.538542924387895,101.00688464743035,1478176,160387,253,633.9407114624506,108.50331760223409
Perlis,primary,2017,6.4333,100.20000000000002,48898,34246,74,462.7837837837838,700.3558427747556
Perlis,primary,2018,6.4333,100.20000000000002,48898,23248,74,314.1621621621622,475.4386682481901
Perlis,primary,2019,6.4333,100.20000000000002,48898,23650,74,319.5945945945946,483.6598633890957
Perlis,primary,2020,6.4333,100.20000000000002,48898,23729,74,320.6621621621622,485.2754713894229
